City,Lat,Lon,Mean Household Income,Median Household Income,Stdev Household Income ,Number of Households
Abington,40.1249276,-75.1223602,71090,300000,44183,291.855764
Albion,41.8895271,-80.34891975,65522,59663,39474,117.9272867
Albrightsville,41.0606859,-75.6470642,48035,37088,39256,181.1279162
Alburtis,40.50806545,-75.59720865,150138,362808,92386,782.2278765
Aldan,39.92545285,-75.2827195,137106,115540,89647,511.6101608
Alexandria,40.5459408,-78.054391,51431,41707,43590,332.0878281
Aliquippa,40.5751402,-80.2886059,202368,172855,144187,1381.770238
Allentown,40.6028274,-75.47738526,706800,565259,589077,6635.797081
Allison Park,40.592057,-79.9681857,87885,80789,57816,471.3059692
Altoona,40.5159883,-78.3823865,355793,253355,316381,4719.543667
Ambler,40.1597912,-75.2204724,74566,56245,65439,395.0851152
Ambridge,40.5968029,-80.2313977,35321,21106,35825,406.8857573
Annville,40.2906412,-76.5153088,71904,60275,52031,198.0559986
Archbald,41.5063829,-75.5505118,67348,59401,49717,363.1101406
Ardmore,40.00479423,-75.2976564,424588,651984,218681,367.8738758
Arnold,40.5810298,-79.7603872,40393,33316,30675,843.5028225
Ashland,40.7977637,-76.3428259,112220,102095,81713,377.2117418
Aston,39.86510205,-75.432776,131429,104488,103640,1038.913763
Atglen,39.9699274,-75.9580782,82952,66790,59048,630.7663247
Athens,41.9463315,-76.53672215,124300,98959,101996,1154.936654
Audubon,40.125409,-75.4422712,82577,71773,51045,473.2648362
Avella,40.2496523,-80.4010323,81454,68881,58568,196.1549079
Baden,40.6136973,-80.2470343,40041,29485,37225,699.4988029
Bainbridge,40.1050742,-76.6670527,76380,62666,56682,370.9505597
Bala Cynwyd,39.96298115,-75.13997485,213074,177171,140396,1129.884564
Bangor,40.86690743,-75.2039311,229087,415320,157019,819.630334
Barto,40.3771822,-75.58948445,174643,600000,112599,607.8338272
Bartonsville,41.0440948,-75.2754403,129746,90938,106316,1844.474756
Bath,40.778377,-75.3932107,64017,59828,39015,438.6169927
Beaver,40.7054619,-80.3368343,79427,69121,58745,319.8489225
Beaver Falls,40.76856513,-80.36116683,232880,191362,176405,3369.829162
Bedford,40.0564352,-78.5036528,53794,33041,44967,377.9548561
Belle Vernon,40.1841006,-79.8644207,45255,29148,41073,670.7691988
Bellefonte,40.93831105,-77.6959767,120055,101244,85503,2952.133867
Belleville,40.5896067,-77.749993,56721,42911,42354,194.3948415
Bellwood,40.639834,-78.3589214,72652,70015,47584,378.6050152
Bendersville,40.0005615,-77.25472055,151326,362303,118449,840.1894948
Bensalem,40.11063998,-74.940794,339093,535370,242621,2301.3752
Bentleyville,40.12105853,-80.04862073,187939,154544,148009,2197.486832
Benton,41.2073108,-76.3744956,58147,48596,44264,1344.515267
Berlin,39.9074085,-78.9810264,62072,48417,50802,258.9248516
Bernville,40.425857,-76.1366943,136106,120420,90173,685.3667863
Berwick,41.07176465,-76.24590618,215050,441269,153681,1205.165115
Berwyn,40.0387942,-75.4420872,158724,174222,87611,172.1142183
Bessemer,40.9767564,-80.4669991,60646,51899,46261,286.5180525
Bethel,40.5051901,-76.2703162,71868,60515,52683,1134.242528
Bethel Park,40.32585374,-80.03648852,438138,604254,297508,8491.097871
Bethlehem,40.6354717,-75.36961423,837106,1662212,572168,6166.861506
Binghamton,41.9373448,-75.8622279,49310,43728,35446,394.454879
Birdsboro,40.25334093,-75.78080347,227082,188401,164462,1170.116462
Blacksville,39.7637446,-80.1930142,64306,54193,43417,273.5544663
Blairsville,40.4324897,-79.2598819,60279,300000,44119,171.695075
Blandon,40.4573155,-75.88756765,160881,378618,99876,1510.571074
Bloomsburg,40.9950701,-76.44142603,151222,94246,150478,1767.731073
Blue Bell,40.15738875,-75.2912841,263765,600000,135226,189.2526778
Bobtown,39.760264,-79.984447,53028,37032,40397,220.1244741
Boiling Springs,40.1723097,-77.1388187,93694,300000,53920,487.6404568
Boothwyn,39.82815833,-75.4408503,191299,156153,149163,1612.76245
Boyertown,40.33845385,-75.64579905,130667,106675,97524,1824.596213
Braddock,40.4017344,-79.8537038,28660,18834,28758,497.2748535
Bradford,41.9514912,-78.6613637,141931,103672,109360,850.6987801
Breinigsville,40.549245,-75.6418257,223397,600000,148988,801.5174219
Bridgeport,40.0843058,-75.3323871,137239,122480,80640,49.89391586
Bridgeville,40.4005855,-80.1333237,60410,50601,43510,193.191861
Brockway,41.2471024,-78.7924153,49051,40053,42725,623.6025443
Brodheadsville,40.9765477,-75.4531757,69982,60072,41253,534.0768629
Brogue,39.81224,-76.3836761,73994,61712,51524,264.4864841
Brookville,41.17769425,-79.036723,108438,86636,86910,620.9455829
Broomall,39.9768299,-75.36397277,280525,447807,181052,920.7351078
Brownstown,40.127538,-76.1730397,64899,60245,41429,455.1771355
Bryn Mawr,40.0119329,-75.32938225,208323,187085,146524,372.5447074
Burgettstown,40.3812926,-80.3926128,49514,41301,37913,243.1277104
Butler,40.86338332,-79.90383464,273806,233920,226495,2257.905543
Cambridge Springs,41.77647883,-80.05933947,170077,138567,125924,424.9532647
Camp Hill,40.23714925,-76.92616258,282868,476878,194810,1552.381078
